"hotel_name","address","city","email","phone_number","website","detail_url"
"Hotel Amfiteatar","Amfiteatarska 6, Pula","Pula","booking@hotelamfiteatar.com","+385 52 375 600","https://www.hotelamfiteatar.com","https://www.omh.hr/hotel/hotel-amfiteatar/"
"Hotel Alkar","Vrlička 50, Sinj","Sinj","info@hotel-alkar.hr","+385 21 824 474","https://www.hotel-alkar.hr","https://www.omh.hr/hotel/hotel-alkar/"
"Heritage Hotel Tisno","Zapadna Gomilica 8, Tisno","Tisno","info@hoteltisno.com","+38522438182","https://www.hoteltisno.com","https://www.omh.hr/hotel/heritage-hotel-tisno/"
"Heritage hotel Pašike","Sinjska bb, Trogir","Trogir","info@hotelpasike.com","+385 21 885 185","https://www.hotelpasike.com","https://www.omh.hr/hotel/heritage-hotel-pasike/"
"Heritage hotel Forza","Kralja Zvonimira 98, Baška","Baška","info@hotelforza.hr","+385 51 864 036","https://www.hotelforza.hr","https://www.omh.hr/hotel/heritage-hotel-forza/"
"Heritage Boutique Hotel Adriatic","Šetalište Kneza Domagoja 8 , Orebić","Orebić","info@hoteladriaticorebic.com","+385 20 714 488","https://www.hoteladriaticorebic.com","https://www.omh.hr/hotel/heritage-boutique-hotel-adriatic/"
"Boutique Hotel Marco Polo","Obala 15, Gradac","Gradac","info@hotel-marcopolo.com","+385 21 695 060","https://www.hotel-marcopolo.com","https://www.omh.hr/hotel/boutique-hotel-marco-polo/"
"Boutique Hotel Korana Srakovčić","Perivoj Josipa Vrbanića 8, Karlovac","Karlovac","info@hotelkorana.hr","+385 47 609 090","https://www.hotelkorana.hr","https://www.omh.hr/hotel/boutique-hotel-korana-srakovcic/"
"Boutique & Beach Hotel Villa Wolff","Nika i Meda Pucica 1, Dubrovnik","Dubrovnik","info@villa-wolff.hr","+385 20 438 710","https://www.villa-wolff.hr","https://www.omh.hr/hotel/boutique-beach-hotel-villa-wolff/"
"Art hotel Kalelarga","Majke Margarite 3, Zadar","Zadar","info@arthotel-kalelarga.com","+385 23 233 000","https://www.arthotel-kalelarga.com","https://www.omh.hr/hotel/art-hotel-kalelarga/"
"Aparthotel Milenij","Šetalište kralja Petra Krešimira IV 5, Baška Voda","Baška Voda","info@hotel-milenij.com","+385 21 620 644","https://www.hotel-milenij.com","https://www.omh.hr/hotel/aparthotel-milenij/"
"Aparthotel Lekavski","Dražnikova ulica 15, Zaton ( Nin )","Zaton ( Nin )","hotel@lekavski.de","+385 23 265 888","https://www.lekavski.de","https://www.omh.hr/hotel/aparthotel-lekavski/"
"Adrion Aparthotel","Puntižela 40, Pula","Pula","adrionaparthotel@gmail.com","+385 52 33 00 60","https://www.adrion-aparthotel.hr","https://www.omh.hr/hotel/adrion-aparthotel/"
